eleccion,nro_lista,candidato,region,territorio,lista,partido,gano
Diputado,55,Ricardo Flores Paredes,Del Biobio,Distrito 21,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,56,Juan Manuel Rivas Garrido,De Ñuble,Distrito 19,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,56,Leonel Meriño Bahamonde,De La Araucania,Distrito 23,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,56,Paula Olimpia Valdebenito Chavez,Del Biobio,Distrito 20,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,57,Javier Muñoz Cauchupan,Del Biobio,Distrito 20,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,57,Tamara Morales Silva,De La Araucania,Distrito 23,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,58,Marisol Vidal Friz,Del Biobio,Distrito 20,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,59,Manuel Jara Bao,Del Biobio,Distrito 20,A. Partido Ecologista Verde,Ecologista Verde,NO
Senador,11,Felipe Duran Martinez,Del Maule,Circunscripción Senatorial 9,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Senador,11,Manuel Woldarsky Gonzalez,De Valparaiso,Circunscripción Senatorial 6,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Senador,11,Mauricio Paredes Escanilla,De Arica Y Parinacota,Circunscripción Senatorial 1,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Senador,11,Miguel Angel Calisto Aguila,De Aysen Del General Carlos Ibañez Del Campo,Circunscripción Senatorial 14,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Senador,11,Paola Alzamora Aguirre,De Tarapaca,Circunscripción Senatorial 2,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Senador,12,Andrea Araya Toro,De Valparaiso,Circunscripción Senatorial 6,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Senador,12,Jorge Abello Moll,De Aysen Del General Carlos Ibañez Del Campo,Circunscripción Senatorial 14,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Senador,12,Tomas Bize Brintrup,Del Maule,Circunscripción Senatorial 9,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Senador,13,Alejandra Molina Tobar,Del Maule,Circunscripción Senatorial 9,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Senador,13,German Correa Diaz,De Valparaiso,Circunscripción Senatorial 6,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Senador,14,Jaime Naranjo Ortiz,Del Maule,Circunscripción Senatorial 9,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Senador,14,Yessica Flandez Flandez,De Valparaiso,Circunscripción Senatorial 6,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Senador,15,Carla Fernandez Riffo,Del Maule,Circunscripción Senatorial 9,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,51,Adriana Ampuero Barrientos,De Los Lagos,Distrito 26,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,51,Alejandra Perez Espina,Metropolitana De Santiago,Distrito 9,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Senador,12,Jal Yjade Evila,De La Araucania,Circunscripción Senatorial 11,A. Partido Ecologista Verde,Ecologista Verde,NO
