nombre,apellido,partido,ciudad,bio,propuesta_electoral,tipos_eleccion,lista_electoral,territorio,region,eleccion,nro_lista,revision_apellido
Ricardo,Flores Paredes,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 21,Del Biobio,Diputado,55,
Juan Manuel,Rivas Garrido,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 19,De Ñuble,Diputado,56,
Leonel,Meriño Bahamonde,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 23,De La Araucania,Diputado,56,
Paula Olimpia,Valdebenito Chavez,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 20,Del Biobio,Diputado,56,
Javier,Muñoz Cauchupan,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 20,Del Biobio,Diputado,57,
Tamara,Morales Silva,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 23,De La Araucania,Diputado,57,
Marisol,Vidal Friz,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 20,Del Biobio,Diputado,58,
Manuel,Jara Bao,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 20,Del Biobio,Diputado,59,
Felipe,Duran Martinez,Acción Humanista,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 9,Del Maule,Senador,11,
Manuel,Woldarsky Gonzalez,Acción Humanista,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 6,De Valparaiso,Senador,11,
Mauricio,Paredes Escanilla,Federación Regionalista Verde Social,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 1,De Arica Y Parinacota,Senador,11,
