eleccion,nro_lista,candidato,region,territorio,lista,partido,parlid
Diputado,96,Rene Manuel Garcia Garcia,De La Araucania,Distrito 23,J. Chile Grande y Unido,Renovación Nacional,843
Diputado,85,German Verdugo Soto,Del Maule,Distrito 17,K. Cambio por Chile,Nacional Libertario,915
Diputado,104,Jorge Alessandri Vergara,Metropolitana De Santiago,Distrito 10,J. Chile Grande y Unido,Unión Demócrata Independiente,1009
Diputado,60,Boris Barrera Moreno,Metropolitana De Santiago,Distrito 9,C. Unidad por Chile,Comunista de Chile,1012
Diputado,103,Alvaro Carter Fernandez,Metropolitana De Santiago,Distrito 12,K. Cambio por Chile,Republicano de Chile,1017
Diputado,89,Catalina Del Real Mihovilovic,Metropolitana De Santiago,Distrito 11,K. Cambio por Chile,Republicano de Chile,1025
Diputado,57,Marcos Ilabaca Cerda,De Los Rios,Distrito 24,C. Unidad por Chile,Socialista de Chile,1038
Diputado,58,Raul Leiva Carvajal,Metropolitana De Santiago,Distrito 14,C. Unidad por Chile,Socialista de Chile,1044
Diputado,60,Emilia Nuyado Ancapichun,De Los Lagos,Distrito 25,C. Unidad por Chile,Socialista de Chile,1056
Diputado,88,Guillermo Ramirez Diez,Metropolitana De Santiago,Distrito 9,J. Chile Grande y Unido,Unión Demócrata Independiente,1065
Diputado,61,Juan Santana Castillo,De Atacama,Distrito 4,C. Unidad por Chile,Socialista de Chile,1073
Diputado,83,Diego Schalper Sepulveda,Metropolitana De Santiago,Distrito 11,J. Chile Grande y Unido,Renovación Nacional,1075
Diputado,60,Gonzalo Winter Etcheberry,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Frente Amplio,1086
Diputado,58,Jaime Araya Guerrero,De Antofagasta,Distrito 3,C. Unidad por Chile,Independiente Por La Democracia,1099
Diputado,104,Roberto Arroyo Muñoz,Del Biobio,Distrito 20,K. Cambio por Chile,Social Cristiano,1102
Diputado,86,Chiara Barchiesi Chavez,De Valparaiso,Distrito 6,K. Cambio por Chile,Republicano de Chile,1104
Diputado,56,Hector Barria Angulo,De Los Lagos,Distrito 25,C. Unidad por Chile,Demócrata Cristiano,1105
Diputado,95,Sara Concha Smith,De Ñuble,Distrito 19,K. Cambio por Chile,Social Cristiano,1119
Diputado,68,Mauro Gonzalez Villarroel,De Los Lagos,Distrito 26,J. Chile Grande y Unido,Renovación Nacional,1131
Diputado,74,Jorge Guzman Zepeda,Del Maule,Distrito 17,J. Chile Grande y Unido,Evolución Política,1132
Diputado,66,Daniel Lilayu Vivanco,De Los Lagos,Distrito 25,J. Chile Grande y Unido,Unión Demócrata Independiente,1140
Diputado,55,Luis Malla Valenzuela,De Arica Y Parinacota,Distrito 1,C. Unidad por Chile,Liberal de Chile,1141
Diputado,53,Javiera Morales Alvarado,De Magallanes Y De La Antartica Chilena,Distrito 28,C. Unidad por Chile,Frente Amplio,1148
Diputado,76,Gloria Naveillan Arriagada,De La Araucania,Distrito 22,K. Cambio por Chile,Nacional Libertario,1152
Diputado,94,Agustin Romero Leiva,Metropolitana De Santiago,Distrito 8,K. Cambio por Chile,Republicano de Chile,1165
Diputado,56,Consuelo Veloso Avila,Del Maule,Distrito 18,C. Unidad por Chile,Independiente Radical de Chile,1180
Diputado,61,Emilia Schneider Videla,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Frente Amplio,1171
Diputado,98,Stephan Schubert Rubio,De La Araucania,Distrito 23,K. Cambio por Chile,Republicano de Chile,1172
Diputado,89,Marco Antonio Sulantay Olivares,De Coquimbo,Distrito 5,J. Chile Grande y Unido,Unión Demócrata Independiente,1174
Diputado,56,Cristian Tapia Ramos,De Atacama,Distrito 4,C. Unidad por Chile,Independiente Por La Democracia,1175
Diputado,78,Flor Weisse Novoa,Del Biobio,Distrito 21,J. Chile Grande y Unido,Unión Demócrata Independiente,1183
Diputado,58,Roberto Celedon Fernandez,Del Maule,Distrito 17,C. Unidad por Chile,Independiente Frente Amplio,1184
Diputado,61,Ignacio Achurra Diaz,Metropolitana De Santiago,Distrito 14,C. Unidad por Chile,Frente Amplio,1186
Diputado,82,Jaime Coloma Alamos,Metropolitana De Santiago,Distrito 14,J. Chile Grande y Unido,Unión Demócrata Independiente,1199
Diputado,66,Francisco Crisostomo Llanos,De Ñuble,Distrito 19,C. Unidad por Chile,Socialista de Chile,1204
Diputado,71,Sebastian Cristoffanini Jaraquemada,Del Libertador General Bernardo O'Higgins,Distrito 16,K. Cambio por Chile,Republicano de Chile,1203
Diputado,56,Jorge Diaz Ibarra,De Arica Y Parinacota,Distrito 1,C. Unidad por Chile,Demócrata Cristiano,1208
Diputado,100,Erich Grohs Marin,De Coquimbo,Distrito 5,K. Cambio por Chile,Nacional Libertario,1212
Diputado,102,Pier Karlezi Hazleby,Metropolitana De Santiago,Distrito 8,K. Cambio por Chile,Nacional Libertario,1217
Diputado,75,Leandro Kunstmann Collado,De Los Rios,Distrito 24,K. Cambio por Chile,Republicano de Chile,1220
Diputado,55,Andrea Macias Palma,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,C. Unidad por Chile,Socialista de Chile,1222
