candidato_apellido,candidato_nombre,candidato_partido,pregunta_orden,pregunta_texto_ref,valor,justificacion,fuente_url
Kast Rist,Jose Antonio,Republicano,1,El proximo gobierno debe impulsar una reforma tributaria que,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,2,Chile debe migrar hacia un sistema previsional con mayor com,5,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,3,El royalty minero al cobre debe aumentarse para financiar sa,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,4,Se debe implementar por ley la jornada laboral de 40 horas s,2,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,5,Se debe eliminar totalmente el copago en las prestaciones de,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,6,La gratuidad en educacion superior debe extenderse al 100% d,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,7,Chile debe adelantar el cierre de todas las centrales termoe,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,8,Se debe prohibir la operacion de salmoneras dentro de Areas ,2,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,9,Se debe desplegar Fuerzas Armadas de forma permanente en la ,5,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,10,Chile debe construir carceles de maxima seguridad exclusivas,4,"[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Base perfil=5, candidato=4 (RUIDO -1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
