candidato_apellido,candidato_nombre,candidato_partido,pregunta_orden,pregunta_texto_ref,valor,justificacion,fuente_url
Duran Martinez,Felipe,Acción Humanista,1,"El Senado debe mantenerse como camara revisora del Congreso,",4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=3, candidato=4 (RUIDO +1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,2,El Senado debe endurecer el proceso de aprobacion de nombram,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=5, candidato=4 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,4,Chile debe restaurar el quorum de dos tercios para reformas ,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=2, candidato=1 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,5,El Senado debe reducirse de 50 a 43 escanos para racionaliza,3,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,6,El Senado debe promover el retiro de Chile del Tratado Integ,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,7,El Senado debe aprobar el reconocimiento formal del Estado d,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,8,Chile debe mantenerse dentro del Tratado Interamericano de A,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,9,El Senado debe aprobar la reforma previsional aumentando el ,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,10,"El royalty minero al cobre debe aumentarse por sobre el 4,7%",3,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=4, candidato=3 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,11,"El Senado debe aprobar el fin del sistema de isapres, migran",3,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=4, candidato=3 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
