eleccion,numero,candidato,region,territorio,lista,partido_candidatura
Diputado,67,Carlos Antonio Karim Bianchi Chelech,De Magallanes Y De La Antartica Chilena,Distrito 28,Candidatura Independiente,Federación Regionalista Verde Social
Diputado,68,Claudia Paola Barrientos Sanchez,De Magallanes Y De La Antartica Chilena,Distrito 28,Candidatura Independiente,Federación Regionalista Verde Social
Diputado,77,José Antonio Urrutia Riesco,De Magallanes Y De La Antartica Chilena,Distrito 28,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Federación Regionalista Verde Social
Diputado,112,Saul Gonzalez Caceres,Del Biobio,Distrito 20,Candidatura Independiente,Candidatura Independiente
Senador,51,Alexis Zuñiga Jelvez,De Atacama,Circunscripción Senatorial 4,A. Partido Ecologista Verde,Federación Regionalista Verde Social
Senador,54,Atrix Badilla Hernandez,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,11,Aucan Huilcaman Paillama,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,54,Barbara Lepez Monsalvez,De Atacama,Circunscripción Senatorial 4,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social
Senador,67,Carlos Antonio Karim Bianchi Chelech,De Atacama,Circunscripción Senatorial 4,C. Unidad por Chile,Federación Regionalista Verde Social
Senador,55,Carolina Monsalves Sanhueza,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,68,Claudia Paola Barrientos Sanchez,De Atacama,Circunscripción Senatorial 4,D. Izquierda Ecologista Popular Animalista y Humanista,Federación Regionalista Verde Social
Senador,53,Constanza Gonzalez Gonzalez,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,55,Doris Blanco Llanquileo,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,54,Eduardo Cuellar Ferreira,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,54,Eliana Sanhueza Ortiz,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,52,Elizabeth Mujica Zepeda,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,55,Felipe Arancibia Labraña,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,51,Felipe Aylwin Lagos,De Atacama,Circunscripción Senatorial 4,,Demócrata Cristiano
Senador,51,Felix Gonzalez Gatica,De Atacama,Circunscripción Senatorial 4,,Demócrata Cristiano
Senador,52,Graciela Huenuman Lincopi,De Atacama,Circunscripción Senatorial 4,Candidatura Independiente,Federación Regionalista Verde Social
Senador,53,Hernan Pino Seguel,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,52,Ivan Gorky Rojas Villagra,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,12,Jal Yjade Evila,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,51,Jessica Mendez Canaves,De Atacama,Circunscripción Senatorial 4,,Demócrata Cristiano
Senador,52,Johanna Barra Astudillo,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,77,José Antonio Urrutia Riesco,De Atacama,Circunscripción Senatorial 4,Candidatura Independiente,Federación Regionalista Verde Social
Senador,40,Juan Francisco Pulgar Castillo,De Atacama,Circunscripción Senatorial 4,"B. Verdes, Regionalistas y Humanistas",Demócrata Cristiano
Senador,56,Juan Manuel Rivas Garrido,De Atacama,Circunscripción Senatorial 4,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social
Senador,56,Leonel Meriño Bahamonde,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,53,Patricio Antonio Palma Molina,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,56,Paula Olimpia Valdebenito Chavez,De Atacama,Circunscripción Senatorial 4,,Demócrata Cristiano
Senador,53,Pedro Pablo Valenzuela Castro,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
