texto,tipo_eleccion,eje_tematico,orden
"El Congreso debe aprobar una reforma tributaria que aumente los impuestos a las empresas grandes para financiar gasto social.",Diputados 2025,ECONOMIA,1
"Es necesario avanzar hacia un sistema previsional con mayor componente de capitalizacion individual, rechazando el reparto solidario.",Diputados 2025,ECONOMIA,2
"El Congreso debe aprobar el proyecto de ley de aborto libre hasta las 14 semanas de gestacion.",Diputados 2025,SOCIEDAD,3
"La educacion escolar publica debe migrar completamente al sistema de Servicios Locales de Educacion Publica (desmunicipalizacion total).",Diputados 2025,SOCIEDAD,4
"Se debe aprobar una ley que prohiba toda actividad minera en zonas de glaciares, periglaciares y ambiente periglacial.",Diputados 2025,AMBIENTE,5
"Se debe endurecer las penas por delitos violentos y restringir los beneficios carcelarios, en la linea de la Ley Nain-Retamal.",Diputados 2025,SEGURIDAD,6
"Se debe mantener y renovar el Estado de Excepcion Constitucional en la Macrozona Sur (Araucania y Biobio) mientras persista el conflicto.",Diputados 2025,SEGURIDAD,7
"El Estado debe reconocer constitucionalmente a los pueblos originarios como naciones dentro de un Chile plurinacional.",Diputados 2025,DDHH,8
"Chile debe endurecer los controles fronterizos y facilitar las expulsiones administrativas de migrantes en situacion irregular.",Diputados 2025,INTERNACIONAL,9
"Se debe limitar por ley la reeleccion continua de diputados y senadores a un maximo de dos periodos consecutivos.",Diputados 2025,INSTITUCIONAL,10
"Se debe iniciar un nuevo proceso constituyente para redactar una nueva Constitucion, tras el rechazo de las propuestas 2022 y 2023.",Diputados 2025,INSTITUCIONAL,11
"Se debe ampliar la Ley 21.400 de matrimonio igualitario garantizando derechos plenos de adopcion y filiacion homoparental.",Diputados 2025,OTRO,12
"Se debe reducir el numero de diputados de 155 a 120 y de senadores de 50 a 43 para racionalizar el gasto legislativo.",Diputados 2025,INSTITUCIONAL,13
"Se debe establecer un royalty al uso intensivo de agua para agroexportacion (paltas, frutales, cerezos) en zonas con escasez hidrica.",Diputados 2025,AMBIENTE,14
"Se deben crear escanos reservados permanentes en la Camara de Diputados para representantes de pueblos originarios.",Diputados 2025,DDHH,15
