texto,tipo_eleccion,eje_tematico,orden
"El Senado debe mantenerse como camara revisora del Congreso, rechazando cualquier propuesta de avanzar hacia un Congreso unicameral.",Senadores 2025,INSTITUCIONAL,1
"El Senado debe endurecer el proceso de aprobacion de nombramientos del Fiscal Nacional y ministros de la Corte Suprema, exigiendo audiencias publicas amplias.",Senadores 2025,INSTITUCIONAL,2
"El Senado debe aprobar por ley una limitacion a dos periodos consecutivos maximo para senadores y diputados.",Senadores 2025,INSTITUCIONAL,3
"Chile debe restaurar el quorum de dos tercios para reformas constitucionales, revirtiendo la baja actual a cuatro septimos.",Senadores 2025,INSTITUCIONAL,4
"El Senado debe reducirse de 50 a 43 escanos para racionalizar el gasto legislativo.",Senadores 2025,INSTITUCIONAL,5
"El Senado debe promover el retiro de Chile del Tratado Integral y Progresista Transpacifico (CPTPP / TPP-11).",Senadores 2025,INTERNACIONAL,6
"El Senado debe aprobar el reconocimiento formal del Estado de Palestina en las relaciones bilaterales de Chile.",Senadores 2025,INTERNACIONAL,7
"Chile debe mantenerse dentro del Tratado Interamericano de Asistencia Reciproca (TIAR) como marco de defensa hemisferica.",Senadores 2025,INTERNACIONAL,8
"El Senado debe aprobar la reforma previsional aumentando el componente solidario de reparto por sobre la capitalizacion individual actual.",Senadores 2025,ECONOMIA,9
"El royalty minero al cobre debe aumentarse por sobre el 4,7% actual, con los ingresos adicionales destinados a fondos regionales.",Senadores 2025,ECONOMIA,10
"El Senado debe aprobar el fin del sistema de isapres, migrando a un seguro unico de salud publica.",Senadores 2025,SOCIEDAD,11
"El Senado debe aprobar el proyecto de eutanasia activa voluntaria para pacientes con enfermedades terminales.",Senadores 2025,SOCIEDAD,12
"El Senado debe declarar por ley las zonas de sacrificio como areas de reparacion ambiental prioritaria, obligando al Estado a destinar financiamiento anual para su recuperacion.",Senadores 2025,AMBIENTE,13
"El Senado debe aprobar la modernizacion de la Ley Antiterrorista ampliando las definiciones de conductas punibles, aunque implique restringir garantias procesales.",Senadores 2025,SEGURIDAD,14
"El Senado debe incluir escanos reservados permanentes para representantes de pueblos originarios.",Senadores 2025,DDHH,15
